-> ulimit -n 100000
-> go run -exec sudo ./cmd/utrace -executable /home/matt/github/utrace/tracee/tracee |tee log.txt

could not attach uprobe to symbol runtime.etext: creating perf_uprobe PMU: symbol 'runtime.etext' not found: file does not exist
runtime.(*sysMemStat).add 1 460867170837288 12093113771760
runtime.mmap 1 460867170837288 12093113774023
runtime.sysMmap.abi0 1 460867170837288 12093113776299
runtime.sysHugePage 1 460867170837288 12093113784310
runtime.makeAddrRange 1 460867170837288 12093113789064
runtime.(*pageAlloc).sysGrow.func1 1 460867170837288 12093113791476
runtime.sysMap 1 460867170837288 12093113793832
runtime.(*sysMemStat).add 1 460867170837288 12093113796551
runtime.mmap 1 460867170837288 12093113798743
runtime.sysMmap.abi0 1 460867170837288 12093113801025
runtime.sysHugePage 1 460867170837288 12093113807831
runtime.makeAddrRange 1 460867170837288 12093113810194
runtime.(*pageAlloc).sysGrow.func1 1 460867170837288 12093113812752
runtime.sysMap 1 460867170837288 12093113815123
runtime.(*sysMemStat).add 1 460867170837288 12093113817540
runtime.mmap 1 460867170837288 12093113819838
runtime.sysMmap.abi0 1 460867170837288 12093113822194
runtime.sysHugePage 1 460867170837288 12093113829007
runtime.makeAddrRange 1 460867170837288 12093113833736
runtime.(*addrRanges).add 1 460867170837288 12093113839188
runtime.(*addrRanges).findSucc 1 460867170837288 12093113842365
runtime.memmove 1 460867170837288 12093113844956
runtime.sysAlloc 1 460867170837288 12093113849755
runtime.mmap 1 460867170837288 12093113853652
runtime.sysMmap.abi0 1 460867170837288 12093113859948
runtime.(*sysMemStat).add 1 460867170837288 12093113863964
runtime.(*pageBits).setRange 1 460867170837288 12093113878035
runtime.(*pageAlloc).update 1 460867170837288 12093113889660
runtime.(*pallocBits).summarize 1 460867170837288 12093113897478
runtime.mergeSummaries 1 460867170837288 12093113905991
runtime.mergeSummaries 1 460867170837288 12093113919815
runtime.mergeSummaries 1 460867170837288 12093113932815
runtime.mergeSummaries 1 460867170837288 12093113947013
runtime.(*pageAlloc).scavenge 1 460867170837288 12093113963423
runtime.(*pageAlloc).scavengeReserve 1 460867170837288 12093113971138
runtime.(*addrRanges).removeLast 1 460867170837288 12093113983719
runtime.(*pageAlloc).scavengeUnreserve 1 460867170837288 12093113992235
runtime.(*pageAlloc).alloc 1 460867170837288 12093113996872
runtime.(*pallocBits).find 1 460867170837288 12093114001278
runtime.(*pageAlloc).allocRange 1 460867170837288 12093114008294
runtime.(*pageBits).popcntRange 1 460867170837288 12093114012352
runtime.(*pallocData).allocRange 1 460867170837288 12093114016293
runtime.(*pageBits).setRange 1 460867170837288 12093114019053
runtime.(*pageBits).clearRange 1 460867170837288 12093114022110
runtime.(*pageAlloc).update 1 460867170837288 12093114026010
runtime.(*pallocBits).summarize 1 460867170837288 12093114029361
runtime.mergeSummaries 1 460867170837288 12093114031875
runtime.mergeSummaries 1 460867170837288 12093114034366
runtime.mergeSummaries 1 460867170837288 12093114037068
runtime.mergeSummaries 1 460867170837288 12093114039572
runtime.(*mheap).allocMSpanLocked 1 460867170837288 12093114043813
runtime.(*fixalloc).alloc 1 460867170837288 12093114046447
runtime.persistentalloc 1 460867170837288 12093114049449
runtime.systemstack.abi0 1 460867170837288 12093114052394
runtime.persistentalloc.func1 1 460867170837288 12093114054747
runtime.persistentalloc1 1 460867170837288 12093114057495
runtime.lock2 1 460867170837288 12093114060583
runtime.unlock2 1 460867170837288 12093114063347
runtime.(*sysMemStat).add 1 460867170837288 12093114065901
runtime.(*sysMemStat).add 1 460867170837288 12093114068268
runtime.recordspan 1 460867170837288 12093114072161
runtime.sysAlloc 1 460867170837288 12093114074776
runtime.mmap 1 460867170837288 12093114077525
runtime.sysMmap.abi0 1 460867170837288 12093114079997
runtime.(*sysMemStat).add 1 460867170837288 12093114085389
runtime.unlock2 1 460867170837288 12093114095206
runtime.(*mheap).allocNeedsZero 1 460867170837288 12093114105369
runtime.newMarkBits 1 460867170837288 12093114115706
runtime.lock2 1 460867170837288 12093114122235
runtime.newArenaMayUnlock 1 460867170837288 12093114128033
runtime.unlock2 1 460867170837288 12093114131555
runtime.sysAlloc 1 460867170837288 12093114135252
runtime.mmap 1 460867170837288 12093114138850
runtime.sysMmap.abi0 1 460867170837288 12093114142678
runtime.(*sysMemStat).add 1 460867170837288 12093114149015
runtime.lock2 1 460867170837288 12093114151274
runtime.unlock2 1 460867170837288 12093114157016
runtime.newAllocBits 1 460867170837288 12093114162158
runtime.newMarkBits 1 460867170837288 12093114166651
runtime.sysHugePage 1 460867170837288 12093114169518
runtime.(*consistentHeapStats).acquire 1 460867170837288 12093114172945
runtime.lock2 1 460867170837288 12093114175318
runtime.(*consistentHeapStats).release 1 460867170837288 12093114178064
runtime.unlock2 1 460867170837288 12093114180837
runtime.(*mheap).setSpans 1 460867170837288 12093114184004
runtime.publicationBarrier.abi0 1 460867170837288 12093114190814
runtime.heapBits.initSpan 1 460867170837288 12093114195833
runtime.heapBits.forwardOrBoundary 1 460867170837288 12093114200438
runtime.heapBits.forward 1 460867170837288 12093114204649
runtime.memclrNoHeapPointers 1 460867170837288 12093114208512
runtime.(*mspan).refillAllocCache 1 460867170837288 12093114216673
runtime.(*consistentHeapStats).acquire 1 460867170837288 12093114220725
runtime.lock2 1 460867170837288 12093114224900
runtime.(*consistentHeapStats).release 1 460867170837288 12093114229328
runtime.unlock2 1 460867170837288 12093114231558
runtime.(*mspan).nextFreeIndex 1 460867170837288 12093114235191
runtime.heapBitsSetType 1 460867170837288 12093114238983
runtime.publicationBarrier.abi0 1 460867170837288 12093114242344
runtime.systemstack.abi0 1 460867170837288 12093114245504
runtime.malg.func1 1 460867170837288 12093114249641
runtime.stackalloc 1 460867170837288 12093114253836
runtime.lock2 1 460867170837288 12093114256525
runtime.unlock2 1 460867170837288 12093114258762
runtime.(*mheap).allocManual 1 460867170837288 12093114261957
runtime.(*mheap).allocSpan 1 460867170837288 12093114264664
runtime.lock2 1 460867170837288 12093114267205
runtime.(*pageAlloc).alloc 1 460867170837288 12093114269807
runtime.(*pallocBits).find 1 460867170837288 12093114272830
runtime.(*pallocBits).findSmallN 1 460867170837288 12093114275658
runtime.(*pageAlloc).allocRange 1 460867170837288 12093114278560
runtime.(*pageBits).popcntRange 1 460867170837288 12093114282035
runtime/internal/sys.OnesCount64 1 460867170837288 12093114286400
runtime.(*pallocData).allocRange 1 460867170837288 12093114290167
runtime.(*pageBits).setRange 1 460867170837288 12093114292537
runtime.(*pageBits).clearRange 1 460867170837288 12093114295142
runtime.(*pageAlloc).update 1 460867170837288 12093114298507
runtime.(*pallocBits).summarize 1 460867170837288 12093114301013
runtime.mergeSummaries 1 460867170837288 12093114303375
runtime.mergeSummaries 1 460867170837288 12093114305698
runtime.mergeSummaries 1 460867170837288 12093114308308
runtime.mergeSummaries 1 460867170837288 12093114311049
runtime.(*mheap).allocMSpanLocked 1 460867170837288 12093114314480
runtime.(*fixalloc).alloc 1 460867170837288 12093114317368
runtime.recordspan 1 460867170837288 12093114320779
runtime.unlock2 1 460867170837288 12093114323427
runtime.(*mheap).allocNeedsZero 1 460867170837288 12093114326586
runtime.sysHugePage 1 460867170837288 12093114329138
runtime.(*sysMemStat).add 1 460867170837288 12093114331672
runtime.(*consistentHeapStats).acquire 1 460867170837288 12093114334082
runtime.lock2 1 460867170837288 12093114336578
runtime.(*consistentHeapStats).release 1 460867170837288 12093114339349
runtime.unlock2 1 460867170837288 12093114341996
